127.0.0.1 - - [19/Feb/2021:09:07:19 -0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Feb/2021:09:10:20 -0800] "GET /Doctor/index.jsp HTTP/1.1" 200 33622
0:0:0:0:0:0:0:1 - - [19/Feb/2021:09:10:20 -0800] "GET /Doctor/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2021:09:10:20 -0800] "GET /Doctor/img/doc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2021:09:10:20 -0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Feb/2021:09:12:13 -0800] "GET /Doctor/index.jsp HTTP/1.1" 200 33613
0:0:0:0:0:0:0:1 - - [19/Feb/2021:09:56:32 -0800] "GET /Doctor/index.jsp HTTP/1.1" 200 33621
0:0:0:0:0:0:0:1 - - [19/Feb/2021:11:50:14 -0800] "GET /Doctor/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2021:12:14:35 -0800] "GET /Doctor/index.jsp HTTP/1.1" 200 33690
0:0:0:0:0:0:0:1 - - [19/Feb/2021:12:14:35 -0800] "GET /Doctor/img/doc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2021:12:15:50 -0800] "GET /Doctor/index.jsp HTTP/1.1" 200 34584
0:0:0:0:0:0:0:1 - - [19/Feb/2021:12:26:14 -0800] "GET /Doctor/index.jsp HTTP/1.1" 200 34841
0:0:0:0:0:0:0:1 - - [19/Feb/2021:12:26:14 -0800] "GET /Doctor/img/soc.jpg HTTP/1.1" 200 371512
0:0:0:0:0:0:0:1 - - [19/Feb/2021:12:29:36 -0800] "GET /Doctor/index.jsp HTTP/1.1" 200 34392
0:0:0:0:0:0:0:1 - - [19/Feb/2021:12:29:36 -0800] "GET /Doctor/img/soc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:36:35 -0800] "GET /Doctor/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:36:35 -0800] "GET /Doctor/img/soc.jpg HTTP/1.1" 304 -
